StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q33,Q13,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q34,Q17,Q17_9_TEXT,Q20,Q22,Q22_9_TEXT,Q23,Q24_1,Q24_2,Q24_3,Q25,Q26_1,Q26_2,Q26_3,Q27_1,Q27_2,Q27_3,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_10,Q35,Q31,Q32,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q36_10,Q36_11,Q37,Q37_8_TEXT,Q38,Q39_1,Q39_2,Q2,Q3,Q3_5_TEXT,Q1,Q5,Q5_5_TEXT,country,Q37,Q7,Q8,Q9,Q40
2023-09-28 14:22:23,2023-09-28 14:35:58,IP Address,128.227.110.69,100,815,True,2023-09-28 14:35:59,R_1QMgi8IwxLYz843,,,,,29.6503,-82.3486,anonymous,EN,Yes,More than 10 times a month,5,5,3,5,2,,Yes,More than 10 times a year,5,5,2,5,1,,,,Yes,,,,,,,10,Mexico,Puerto Rico,Belize,Costa Rica,Colombia,New Zealand,1,1,1,5,3,1,2,3,,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge,Attended a bird festival/fair","Mostly with a group, occasionally alone",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers,Birdwatching forums or online communities,Social media platforms (e.g., Facebook, Instagram, Twitter),Birdwatching magazines or publications,Bird Fairs",,$400-$600,Extremely important,Extremely important,18-24,Female,,United States of America,Master's degree,,United States of America,,"$100,000 - $200,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",Very important research!
2023-09-28 14:36:04,2023-09-28 14:40:56,IP Address,128.227.110.69,100,292,True,2023-09-28 14:40:57,R_2EgHHeeHibx7f9n,,,,,29.6503,-82.3486,anonymous,EN,Yes,6-10 times a month,1,1,1,11,1,,Yes,6-10 times a year,1,1,1,1,1,,,,Yes,,,,,,,23,1,2,3,4,5,6,1,1,1,1,1,1,1,1,,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge,Attended a bird festival/fair","Mostly alone, occasionally with a group",Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers,Birdwatching forums or online communities,Social media platforms (e.g., Facebook, Instagram, Twitter),Birdwatching magazines or publications,Bird Fairs",,$50-$100,Extremely important,Extremely important,55-64,Female,,Argentina,Bachelor's degree/ Undergraduate degree,,Belarus,,"$200,000-$400,000",1-5 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",
2023-09-29 10:18:45,2023-09-29 10:29:35,IP Address,136.152.143.196,100,649,True,2023-09-29 10:29:36,R_2uDSdywS16qsZYc,,,,,37.8736,-122.257,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-34,Female,,,,,,,,,,
2023-10-03 12:17:46,2023-10-03 12:18:24,IP Address,128.227.199.115,100,38,True,2023-10-03 12:18:25,R_3LimIdUeBA9HyCk,,,,,29.6138,-82.386,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-03 12:18:27,2023-10-03 12:19:01,Spam,128.227.199.115,100,33,True,2023-10-03 12:19:02,R_3j6Db0lUJRxVlt2,,,,,29.6138,-82.386,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-03 12:36:55,2023-10-03 12:38:30,Spam,128.227.199.115,100,94,True,2023-10-03 12:38:31,R_DoAzJOzW6O1Xifv,,,,,29.6138,-82.386,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-03 12:38:00,2023-10-03 12:38:56,Survey Preview,,100,56,True,2023-10-03 12:38:57,R_A7JGyppDR7rrB4Z,,,,,33.9441,-118.198,preview,EN,No,,,,,,,,No,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-04 06:28:24,2023-10-04 06:53:54,IP Address,73.139.94.176,100,1529,True,2023-10-04 06:53:55,R_3s4uK4iLE6Rrbex,,,,,26.1136,-80.2282,anonymous,EN,Yes,1-5 times a month,4,1,3,2,5,playgrounds,Yes,1-5 times a year,2,1,4,1,5,food,,,Yes,,,,,,,5,ecuador,spain,germany,brazil,mexico,south africa,1,1,3,4,5,2,1,2,2,playgrounds,"Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge","Mostly with a group, occasionally alone",Very important,Very important,Moderately important,Moderately important,Slightly important,Slightly important,Very important,Moderately important,Moderately important,Extremely important,Moderately important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers",,$50-$100,Very important,Very important,35-44,Female,,United States of America,Master's degree,,United States of America,,"$100,000 - $200,000",6-10 years,"Casual birder -- enjoys bird watching while taking trips for other primary reasons (nature, culture, hobbies). Doesn’t necessarily keep a list and is mostly driven by the enjoyment of birds for their beauty or interesting features.",I like colorful birds.
2023-10-03 12:38:41,2023-10-04 08:39:29,IP Address,128.227.199.115,100,72047,True,2023-10-04 08:39:30,R_3JvYXzcGQcz9avO,,,,,29.6138,-82.386,anonymous,EN,Yes,,,,,,,,No,,,,,,,,Health,,No,Not enough interesting birds,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,18-24,,,,,,,,"Over $600,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",test
2023-10-05 13:17:45,2023-10-05 13:32:41,IP Address,174.62.70.30,100,896,True,2023-10-05 13:32:42,R_2X0s3kJ61WZXbnu,,,,,37.0313,-122.1198,anonymous,EN,Yes,More than 10 times a month,3,4,2,1,5,Visiting beautiful nearby areas for exercise as well as birding,Yes,6-10 times a year,4,2,3,1,5,,,,Yes,,,,,,,20,Colombia,Tanzania,Cuba,Australia,Portugal,Canada,1,6,8,4,2,5,9,3,7,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge",Always with a group,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Slightly important,Slightly important,Very important,Moderately important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers",,$200-$400,Extremely important,Extremely important,65 or above,Female,,United States of America,Master's degree,,United States of America,Caucasian,"$50,000-$100,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",Group size is an important factor - no more than 6-8 people is ideal
2023-10-05 16:08:55,2023-10-05 16:20:37,IP Address,1.144.104.184,100,701,True,2023-10-05 16:20:38,R_3QDGG63JPw9WwZi,,,,,-33.8715,151.2006,anonymous,EN,Yes,1-5 times a month,2,1,5,4,3,,Yes,1-5 times a year,2,1,5,3,4,Guiding/showing friends around. Might come under socializing.,,,Yes,,,,,,,24,India,Vanuatu,Poland,Vietnam,Lao,New Caledonia,4,2,1,9,7,3,5,6,8,Number of species imminently facing extinction (last chance to see them before they go),"Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge","Mostly with a group, occasionally alone",Very important,Extremely important,Moderately important,Very important,Not at all important,Moderately important,Very important,Slightly important,Slightly important,Very important,Moderately important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers,Social media platforms (e.g., Facebook, Instagram, Twitter)",,$50-$100,Extremely important,Extremely important,25-34,Male,,Australia,Bachelor's degree/ Undergraduate degree,,Australia,White Jewish,"Less than $50,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",
2023-09-29 10:29:38,2023-09-29 11:13:32,IP Address,136.152.143.196,32,2634,False,2023-10-06 11:13:34,R_3CDuAZU5WeeG01c,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-07 07:29:39,2023-10-07 07:54:34,IP Address,174.62.70.30,100,1494,True,2023-10-07 07:54:35,R_SJXyaeke8JaqZ1v,,,,,36.978,-121.894,anonymous,EN,Yes,More than 10 times a month,1,3,5,2,4,The best answer might be all of these are equally important to me.,Yes,More than 10 times a year,2,3,5,1,4,,,,Yes,,,,,,,10,Colombia,Tanzania,Cuba,Brazil,Borneo,Papua New Guinea,1,6,7,2,3,5,9,4,8,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge",Always with a group,Extremely important,Very important,Very important,Moderately important,Very important,Very important,Very important,Slightly important,Slightly important,Very important,Moderately important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers",,$200-$400,Very important,Very important,65 or above,Male,,United States of America,Master's degree,,United States of America,caucasian,"$50,000-$100,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",
2023-10-07 15:12:12,2023-10-07 15:17:31,IP Address,73.186.204.229,100,319,True,2023-10-07 15:17:32,R_2QYTjKwiwZFMFLR,,,,,41.2969,-72.9322,anonymous,EN,Yes,More than 10 times a month,1,1,3,3,4,,Yes,6-10 times a year,1,1,5,2,5,,,,Yes,,,,,,,2,"Australia ",,,"Panama ","Uganda ",spain,1,1,1,3,3,2,1,1,4,,,,,,,,,,,,,,,,,,,,25-34,Male,,Australia,Bachelor's degree/ Undergraduate degree,,United States of America,"Caucasian ","$100,000 - $200,000",6-10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",
